Code,Population
11110A,151457
11140,126209
11170,228507
11200,301527
11215,351699
11230,346166
11260,397297
11290,443111
11305,314306
11320,333902
11350,533498
11380,480701
11410,309312
11440,374028
11470,458691
11500,592309
11530,407090
11545,232889
11560,367800
11590,396460
11620,500803
11650,430697
11680,545024
11710,675843
11740,433251
26110,41983
26140,108449
26170,87903
26200,117040
26230,358302
26260,270910
26290,275041
26320,291337
26350,406204
26380,321858
26410,239459
26440,128740
26470,209531
26500,176331
26530,218707
26710,164926
27110,77659
27140,346334
27170,175930
27200,148193
27230,438423
27260,428948
27290,569778
27710,256316
28110,134318
28140,64485
28177,409463
28185,365499
28200,532703
28237,512610
28245,304145
28260,544198
28710,69173
28720,20655
29110,98628
29140,301452
29155,218289
29170,434562
29200,405984
30110,227467
30140,240976
30170,481683
30200,349308
30230,177521
31110,224238
31140,324056
31170,160106
31200,217309
31710,223213
36110,338647
41110,1194834
41111,278798
41113,372013
41115,176244
41117,367779
41130,942929
41131,234648
41133,220470
41135,487811
41150,451833
41170,569045
41171,245590
41173,323455
41190,830811
41210,317144
41220,511229
41250,94779
41270,651777
41271,345351
41273,306426
41280,1064218
41281,464633
41285,297027
41287,302558
41290,58107
41310,199259
41360,701091
41370,225446
41390,472162
41410,275546
41430,160045
41450,271574
41460,1057895
41461,254352
41463,435649
41465,367894
41480,454107
41500,215804
41550,183512
41570,436006
41590,811778
41610,371903
41630,222257
41650,148583
41670,111150
41800,43918
41820,62502
41830,116933
42110,280952
42130,348607
42150,213527
42170,90337
42190,43975
42210,81810
42230,67518
42720,69187
42730,46703
42750,39106
42760,42218
42770,37309
42780,45617
42790,24912
42800,22921
42810,31740
42820,27239
42830,27721
43110,839615
43112,203624
43114,196063
43111,178260
43113,261668
43130,210826
43150,134768
43720,33008
43730,51034
43740,48877
43745,37419
43750,80962
43760,38312
43770,95014
43800,29816
44270,167190
44130,651913
44131,259298
44133,392615
44150,106517
44180,101167
44200,314249
44210,174575
44230,119164
44250,43159
44710,52332
44760,66827
44770,52890
44790,31519
44800,100598
44810,79400
44825,62802
45110,655133
45111,339390
45113,315743
45130,270503
45140,288215
45180,110728
45190,81528
45210,84035
45710,92384
45720,25623
45730,24281
45740,22464
45750,28485
45770,28387
45790,55669
45800,53364
46110,229914
46130,282980
46150,281227
46170,114522
46230,151592
46710,46439
46720,28977
46730,26128
46770,64976
46780,41540
46790,62730
46800,38628
46810,35376
46820,70500
46830,54579
46840,81189
46860,32888
46870,53855
46880,45667
46890,50738
46900,30744
46910,40399
47110,507430
47111,235997
47113,271433
47130,255489
47150,141320
47170,160112
47190,420095
47210,105196
47230,102433
47250,99706
47280,71954
47290,262986
47720,23724
47730,52542
47750,25450
47760,17031
47770,37461
47820,42925
47830,32355
47840,43818
47850,117357
47900,55074
47920,32278
47930,49383
47940,9656
48120,1045627
48121,257477
48123,221742
48125,178375
48127,194266
48129,193767
48170,347477
48220,131659
48240,112015
48250,541807
48270,105660
48310,248413
48330,350165
48720,27161
48730,65812
48740,62421
48820,52312
48840,43709
48850,46529
48860,35380
48870,39667
48880,62278
48890,45182
50110,489230
50130,181665
